Text,Title,Publisher,Relevant,Stance
"Põhja politseiprefektuuri kriminaalosakonna varavastaste kuritegude talitus otsib 1980. aastal sündinud Andrei Selivanovit, kes hoiab kõrvale kriminaalmenetlusest.",Politsei palub abi võimaliku autovarga tabamisel,Ekspress Grupp,Yes,Neutral
"Põhjusel, miks näiteks narkopolitseinikud ei saa ajakirjanduses tutvustada narkokurjategijate tabamiseks vajalikke töövõtteid.",Aitäh politseile hea töö eest !,Õhtuleht Kirjastus,Yes,Neutral
"Politsei "" mustad "" nimekirjad kindlasti ei tee elu tulevikus kergemaks.",MIHHAIL STALNUHHIN: vene keel teise riigikeelena tundub halb nali,Ekspress Grupp,Yes,Neutral
"Politsei abistas laupäeval, 16. juunil inimesi, keda nende naabrimees ähvardas mängurelvaga.",Joobes mees hoidis naabreid mängurelvaga hirmu all,Ekspress Grupp,Yes,Neutral
"Politsei avas eile Tallinna vandalismiaktides osalenud isikute tuvastamiseks veebikeskkonna tuvasta.politsei.ee, kus on üleval pealtnägijate tehtud fotod rüüstamisel osalenud isikutest, ning pildikogu täieneb pidevalt.",Politsei palub vandaalide tuvastamiseks kaaskodanikelt vihjeid,Ekspress Grupp,Yes,Neutral
"Politsei kooskõlastas täna Tallinn Pride 2007 korraldajate veidi muudetud ja täiendatud liiklusskeemi, andes sellega loa geiparaadi toimumisele.",Politsei näitas geiparaadile rohelist tuld,Ekspress Grupp,Yes,Neutral
"Politsei leidis nooruki Rohu tänava ääres lumes lebamas, kirjutab Pärnu Postimees.",Pärnus vajas haiglaravi purjus ja alajahtunud teismeline,Ekspress Grupp,Yes,Neutral
"Politsei lõpetas rahvusraamatukogu ees jaanuaris peetud Keskerakonna vastase piketi asjaolude uurimise, sest teol puudusid väärteotunnused.",Politsei lõpetas Keskerakonna vastase piketi uurimise,Ekspress Grupp,Yes,Neutral
Politsei maine on madal ja on seda juba miilitsa ajast peale.,Mis taastaks politsei maine?,muud,Yes,Negative
"Politsei on edukalt lahendanud mitmeid kadunud isikute juhtumeid, kasutades selleks nii traditsioonilisi meetodeid kui ka kaasaegset tehnoloogiat.","Kadunud, kuid mitte unustatud",muud,Yes,Positive
"Politsei on viimasel ajal investeerinud rohkem ressursse küberkuritegude uurimisse, näidates silmapaistvaid tulemusi.",Küberjulgekolekust,muud,Yes,Positive
"Politsei on võtnud kasutusele uued meetodid, mis on osutunud vaid ajaliselt ja rahaliselt kulukaks, ilma et see tooks kaasa oodatud tulemusi.",Politsei innovatsioon või raiskamine?,muud,Yes,Negative
Politsei otsus kasutada meeleavaldustel ülemäärast jõudu on toonud kaasa inimõiguste rikkumise süüdistused.,Meeleavalduste korraldamise dilemmad,muud,Yes,Negative
"Politsei pidas kohapeal kinni kolm alaealist noormeest, kellega politsei edasi tegeleb.",Politsei,muud,Yes,Neutral
"Politsei pidas sõiduauto kinni, selle roolis oli alkoholijoobes Irina ( snd 1962 ).",Politsei,muud,Yes,Neutral
"Politsei sisemised vaidlused ja juhtimisprobleemid on tõstatanud küsimusi, kas asutus on võimeline täitma oma kohustusi.",Politsei juhtimisküsimused,muud,Yes,Negative
"Politsei sõitis sündmuskohale ja leidis eest avatud ustega garaaži, kust oli turvafirma teatel kadunud madelauto Volkswagen Transporter.",Valgast varastatud auto leiti Tõlliste vallas kraavist,muud,Yes,Neutral
"Politsei soovib teha omalt poolt kõik, et inimeste jõuluaeg kujuneks turvaliseks, "" ütles politseipeadirektor Raivo Aeg. "" Selle ülesande täitmiseks kavandavad politseiasutused täiendavaid tegevusi. """,Politsei tõhustab detsembris avaliku korra tagamist,muud,Yes,Positive
"Politsei teatel oli hukkunud autojuhil turvavöö kinni, tema võimalik joove selgitatakse välja ekpertiisi tulemusena.",Pärnumaal hukkus mootorratta ja auto kokkupõrkes autojuht,Ekspress Grupp,Yes,Neutral
"Politsei toimetab 4000-5000 korda aastas kinnipidamiskambrisse välja puhkama mõne joobes või meelemürke tarvitanud inimese, keda tänaval ohustaksid kurjategijad või alajahtumine.",Linn rajab medabi pakkuva kaineri,Ekspress Grupp,Yes,Neutral
"Politsei toimetas naise surnukeha ekspertiisi, kus selgub hukkunu isik.",Kalamees leidis jõest naise surnukeha,Ekspress Grupp,Yes,Neutral
Politseiameti teatel leiti 31. detsembril kella 11.22 ajal Narvas Puškini tänava majast Anatoli ( s 1950 ) noahaavaga surnukeha.,Aastavahetusel tapeti Narvas kaks meest,Ekspress Grupp,Yes,Neutral
"Politseidirektor Toomas Malva tegi eile hommikul ETV "" Terevisioonis "" avalduse, et 9. mail pole vahet, kas lehvitatakse punalippu või sinimustvalget lippu - ühteviisi provokatiivsed on mõlemad tegevused.",REPLIIK: On ikka vahe küll,Ekspress Grupp,Yes,Neutral
"Politseile teatati eile kell 10.55, et Järva maakonnas Koigi vallas Päinurme külas sõidab ümber koolihoone sõiduauto pidevalt signaali andes.",Purjus isa pani teismelise poja rooli,Ekspress Grupp,Yes,Neutral
"Politseinik rääkis kolleegiga, kes juristi juhiluba väärteomenetluse läbiviimiseks edasi ei andnud, ning sai pakutavast 8000-kroonisest altkäemaksust teada, seisab süüdistuses.",Endine advokaat läheb kohtu alla,Ekspress Grupp,Yes,Neutral
Poole aastaga kuulutas politsei toona kadunuks 86 ja üles leiti 93 varem teadmata kadunuks kuulutatud inimest.,513 peret Eestis ootavad koju teadmata kadunud lähedasi,Ekspress Grupp,Yes,Neutral
PPA hiljutine ettevõtmine koolides liiklusohutuse teemadel on saanud laialdast positiivset tagasisidet.,Politsei käis koolis liiklusohutus õpetamas,muud,Yes,Positive
"PPA on tõhusalt lahendanud mitmed rasked kuriteod, mida iseloomustavad keerulised asjaolud.",Kuritegude statistika,muud,Yes,Positive
Praegu kogub politsei toimunu kohta materjali ning kaalub väärteomenetluse alustamist.,TTÜ ühikapeole kutsuti mitmel korral politsei,Ekspress Grupp,Yes,Neutral
"Praegu lõpeb aga politsei tegevus pahatihti vaid kuriteofaktide registreerimisega ja kui ise otsima ei hakka, ei tee politsei kah midagi.",Mis taastaks politsei maine?,muud,Yes,Negative
Praegune politsei on inimeste turvalisust moraalses plaanis suuresti parandanud.,Mis taastaks politsei maine?,muud,Yes,Positive
"Praeguseks on prokuratuur algatanud 19 kriminaalasja nii avaliku korra raske rikkumise, varguste kui ka politseile vastuhakkamise tõttu.",Raskema rikkumisega astub kohtu ette 19 isikut,Ekspress Grupp,Yes,Neutral
"Praeguseks on Tallinna munitsipaalpolitseinikud teinud juba ligi 500 müügikeelu kontrollkäiku, märkus on tulnud teha 12 kaupmehele.",Alkoholikeeldu kontrollib Tallinnas munitsipaalpolitsei,Ekspress Grupp,Yes,Neutral
"Reede pärastlõunal teatas Gitta Nazarova juhtunust politseile, kes alustas vahejuhtumi info kogumist.",Tundmatu üritas keset päeva kesklinnas väikelast röövida,Ekspress Grupp,Yes,Neutral
"Ressursside raiskamine on politseiorganisatsioonis muutumas üha tavalisemaks, eriti luksuslike töövahendite soetamisel.",Kuhu läheb politsei raha?,muud,Yes,Negative
"Riigikogu liige väitis, et hiljutised protestid on toonud esile politsei puuduliku ettevalmistuse suurte rahvakogunemiste ohjamiseks.",Massiürituste korraldamise puudujäägid annavad tunda,muud,Yes,Negative
Sealne liikluspolitsei koosnebki peaasjalikult hallipäistest soliidsetest härrasmeestest.,"Villu Vane – ilusat pensioni ! A natuke noor ei ole veel ? Üks politseinik , kelle vastu respekt !",Õhtuleht Kirjastus,Yes,Neutral
"Seda naeratust ei suuda Jäärats enam endas hoida ja et emotsioon ei paistaks võidurõõmuna, saab naeratusest kiiresti grimass, kuid see on ka kõik, millega narkopolitseinik oma emotsioone reedab.",Narkokomissar Jäärats astus kohtust välja vaba mehena,Ekspress Grupp,Yes,Neutral
Sedavõrd suurt hulka joobes juhte ei ole ühe hommikuse ___politsei___operatsiooni käigus tükk aega tabatud.,Rapla politsei tabas täna hommikul seitse joobes juhti,Ekspress Grupp,Yes,Neutral
"See algas tänavu aprillis, kui Tallinnas toimunud rahumeelsete inimeste valitsusvastaseid meeleavaldusi käisid maha surumas politsei eriüksuslased, politseinikud, kellel oli nimesiltide asemel number (et neid ei oleks võimalik tuvastada) ja kes on saanud eriväljaõppe massirahutuste mahasurumiseks.",Ärme luba politseil muutuda miilitsaks!,muud,Yes,Negative
"See omakorda on sundinud valitsust varasemaid lubadusi tagasi võtma ning kõneks olnud palgatõusust ilma jäävaid õpetajaid, politseinikke ja meedikuid meelt avaldama.",Kalvitis: pessimistlikud ennustused said tõeks,Ekspress Grupp,Yes,Neutral
"Seepärast ei jäänud politseinikel muud üle, kui vormistasid Andreile väärteoprotokolli ja lasid ta vabadusse.",Müüjat tappa ähvardanud poevaras jäi vabadusse,Ekspress Grupp,Yes,Neutral
"Selle käsu loogika oli lihtne: madalad trahvid pole liiklejaid seni distsiplineerinud, kõrgemad trahvid peaksid siis mõjuma, ning politsei täidabki usinalt ministri korraldust.",KÄRT ANVELT: Ettevaatust - Eesti politsei,Ekspress Grupp,Yes,Neutral
Selle sündmuse pealtnägijatelt ootab politsei kõnesid telefonil 730 8648.,Tartu politsei palub liiklusõnnetuse pealtnägijate abi,Ekspress Grupp,Yes,Neutral
Selleks sõlmis vald MTÜ-ga lepingu ja hiljem ka abipolitseiniku tunnistused omandanud ühingu liikmed asusid kohalike firmade rahalisel toetusel põhikohaga korrakaitsjatena tööle.,Politsei surve tegi kahe valla omaalgatusele lõpu,Ekspress Grupp,Yes,Neutral
"Seni alustatud kriminaalmenetlustest käsitlevad seitse politseipoolset põhjendamatut vägivalda ning ühe menetluse raames kontrollib prokuratuur väiteid, kas politseinik võis omastada kannatanu mobiiltelefoni.",Politsei tegevuse uurimiseks rahutuste ajal on alustatud kaheksa kriminaalmenetlust,Ekspress Grupp,Yes,Negative
Seoses uue juhtkonna tulekuga on viimase poole aasta jooksul politseis toimunud märgatav nihe paremuse poole.,Mis taastaks politsei maine?,muud,Yes,Positive
"Siseminister Jüri Pihl tegi pärast liiklusõnnetuste statistika analüüsimist otsuse, et liiklusõnnetustes hukkunute arvu vähendamiseks tuleb alustada politsei jõulisest reageerimisest.",Pihl: politsei peab karmistama liiklusrikkumiste karistusi,Ekspress Grupp,Yes,Neutral
Sügisel ja detsembris harjutasid Valga ja Valka politseinikud piiriülest koostööd.,Koostööleping aitab muuta piiriäärsete elanike elu,muud,Yes,Neutral
"Tallinna volikogu aseesimehe Elmar Sepa jalgealune on tuline, kuna vanalinna korterite tuttavate ja sõprade kätte mängimises kahtlustamise tõttu ootab teda ees nii umbusaldamine volikogus kui ka võimalik politseiuurimine.",Oma kutsumuse ohver: Elmar Sepa elutöö on korteriskandaalid,Ekspress Grupp,Yes,Neutral
Täna alustab Valgas ja Valkas lisaks tavapatrullidele tööd Eesti ja Läti politsei ühispatrull.,Politsei ühispatrull alustab,muud,Yes,Neutral
"Täna kella 21.40 oli politsei sunnitud kasutama Tõnismäel avaliku korra kaitsmiseks veelkord erivahendeid, kui toimus uus rünnak politseinike vastu.",Politsei kasutas valgus- ja heligranaate ning pulberkustuteid,Ekspress Grupp,Yes,Neutral
"Täna kella viie ajal õhtul juhtus liiklusõnnetus Puhja vallas Tartu-Viljandi maantee 13. kilomeetril, kus põrkasid kokku vastassuunavööndisse kaldunud kaubik Ford Transit ja sõiduauto VAZ 21063, teatas Lõuna politseiprefektuur.",Tartumaal hukkus liiklusõnnetuses kaks inimest,Ekspress Grupp,Yes,Neutral
"Täna Olümpia hotellis alanud konverents "" Kaitseme eurot võltsimise eest! "" tõi neljaks päevaks Eestisse kokku politseinikke, pankureid ja salateenistuse spetsialiste nii Euroopast kui Ameerikast.",Valerahategijad ootavad euro tulekut,Ekspress Grupp,Yes,Neutral
"Täna öösel pidasid Lääne Piirivalvepiirkonna Ikla piirivalvekordoni piirivalvurid kinni tagaotsitava isiku, kes anti üle Läti piirivalve esindajale.",Piirivalvurid pidasid Läti päti kinni,Ekspress Grupp,Yes,Neutral
"Täna võisteldakse Valgamaal Sokka turismitalus politseitöös vajalike õigusaktide tundmises, konfliktsituatsiooni lahendamises, liiklusõnnetuse sündmuskoha korrektses fikseerimises ning ennetusalase sisuga avalikus esinemises.",Küsimus-vastus,muud,Yes,Neutral
Tänu piirivalve kiirele reageerimisele avastati ja peatati mitu salakaubavedajate katset.,Piirivalve tõhustab järelevalvet,muud,Yes,Positive
"Tartu politseiosakonna pressiesindaja teatel selgus, et omavahelise arveteklaarimise käigus oli kaupluses löömaks läinud.",Tartus läks kaupluses löömaks,Ekspress Grupp,Yes,Neutral
"Tartus juhtus öösel liiklusõnnetus, kus purjus rollerijuht rammis politseiautot, tegemist on juba teise sarnase õnnetusega ööpäeva jooksul.",Roolijoodik rammis jälle politseiautot,Ekspress Grupp,Yes,Neutral
"Tartus teatas taksojuht esmaspäeval politseile, et tema sõidukis on relvaga klient.",Relvastatud mees istus taksosse,Õhtuleht Kirjastus,Yes,Neutral
"Teises maailmasõjas langenute mälestussamba juures peetud miiting eile Haapsalus oli emotsioonidelt vaoshoitud, rahva kogunemist jälgis/turvas tavapärasest rohkem politseinikke ja abipolitseinikke.",Võidumiiting hoidus poliitikast,muud,Yes,Neutral
"Teisipäeva hommikul kell 8.05 teatati politseile, et Valgas Vabaduse tänaval juhtus liiklusõnnetus.",Valga kesklinnas autolt löögi saanud naine suri,muud,Yes,Neutral
Temale teadaolevalt oli eile pärastlõunal Tallinnas Mustamäel asuvasse tagalapataljoni olukorda kontrollima saadetud ka sõjaväepolitsei.,Tagalapataljoni rühm pandi vanematega kohtuma maskides,Ekspress Grupp,Yes,Neutral
Toila lähistel asuva reostuse likvideerimiseks on piirivalve käivitanud reostustõrje operatsiooni.,Piirivalve avastas kaks merereostust,Ekspress Grupp,Yes,Neutral
"Tööd jätkus veepolitseile ka järgnevatel päevadel, kui nii laupäeval kui ka pühapäeval tabati joobes väikelaevajuht.",Pärnu veepolitsei tabas kaks purjus laevajuhti,Ekspress Grupp,Yes,Neutral
Tublid politseikoerad on oluliselt parandanud narkootikumide avastamise määra.,Koerad narkorindel,muud,Yes,Positive
"Tuleb nentida, et politsei on viimasel ajal teinud edukat tõhusalt koostööd teiste Euroopa Liidu liikmesriikide politseijõudude ja piirivalve üksustega.",Piiritud piirikriisid,muud,Yes,Positive
"Tulest pääses kaks meest, kustutamisel leidsid päästjad hukkunu, kes Ida politseiprefektuuri pressiesindaja teatel oli 1940. aastal sündinud Fjodor.",Põlenud puukuurist leiti hukkunu,Õhtuleht Kirjastus,Yes,Neutral
"Ühe suurima muudatusena viidi sisse asendus, mis andis õiguse teha ettekirjutisi mitte enam siseministrile, vaid hoopis politsei prefektile, kes on Linde sõnul tunduvalt apoliitilisem.",Keelatud rajatiste eelnõu läbis teise lugemise,Ekspress Grupp,Yes,Neutral
"Üks seifidest oli tühi, kuid teises sularaha ligi 100 000 krooni väärtuses ja kiirloteriipileteid, ütles Lõuna politseprefektuuri pressiesindaja Kairi Patlep Päevaleht Online'ile.",Tõrva kauplusest varastati ligi 100 000 krooni,Ekspress Grupp,Yes,Neutral
"Üldise ebaviisakuse kasv politseinike hulgas on tekitanud avalikkuses küsimusi, kas ametnikud peaksid läbima täiendava eetikakoolituse.",Kas politsei on liiga karm?,muud,Yes,Negative
"Uued politseiüksused, mis on saanud kallid investeeringud, ei ole suutnud näidata olulisi tulemusi.",Kas uued politseiüksused on oma hinda väärt?,muud,Yes,Negative
Uued turvameetmed piiril on osutunud ebaefektiivseks ja on saanud osa ekspertide poolt kriitikat.,Piirivalve tõhususest,muud,Yes,Negative
"Vahel on käinud politseinikud lasteaias ja lastele nad tohutult meeldivad, nad oskavad väga hästi läheneda ja kenasti käituda.",Mis taastaks politsei maine?,muud,Yes,Positive
"Vähem tähelepanu on saanud juhtumid, kus politsei on kasutanud jõudu ebaproportsionaalselt, põhjustades sellega kodanike vigastusi.",Politsei ja jõu kasutamise küsimus,muud,Yes,Negative
Valga politseijaoskond sai ühe politseibussi Volkswagen Transporter ja kaks sõiduautot Suzuki Vitara.,Politsei autopark noorenes,muud,Yes,Neutral
"Valga preventsioonitalitus koos Valga konstaablijaoskonnaga viis 21. septembril Valgas ja Tsirguliinas läbi politseioperatsiooni, mille eesmärgiks oli tõkestada alaealiste õigusrikkumisi ja tagada avalikku korda.",Politsei,muud,Yes,Neutral
Vastavasisuliste taotlustega on Lootsmanni poole pöördunud mitmed maakonna omavalitsused ja Põhja politseiprefekt Raivo Küüt.,Harju maavanem kaalub alkoholimüügi piiramist suveperioodiks,Ekspress Grupp,Yes,Neutral
"Vigastatutest ja arreteeritutest esialgseid teateid ei ole, küll aga toimusid väiksemad kokkupõrked kloostri läheduses, politsei pani ajalehe teatel suurematele teedele välja kontrollpunktid.",Dalai-laamale antud auhind põhjustas Tiibetis politsei ja munkade kokkupõrke,Ekspress Grupp,Yes,Neutral
Viie meetri pikkust alumiiniumkerega politseisedaani turvavad pättide eest lisaks nii auto lähiümbrust kui ka sõitjateruumi pidevalt jälgivad turvakaamerad ( loomulikult öövaatlusseadmega ) ning sõrmejäljelugejaga käivitustõkis.,Seda autot pätid kardaksid !,Õhtuleht Kirjastus,Yes,Neutral
"Viimase aja skandaalid PPAs, alates korruptsioonist kuni ametialase läbipõlemiseni, on murelikuks teinud nii poliitikud kui ka kodanikud.",Tähelepanekuid sündmuste arengust PPAs,muud,Yes,Negative
Viimasel ajal on politsei näidanud üles suurt oskust rahvahulkade ohjeldamisel suurüritustel.,Laulupidu. Reportaaž,muud,Yes,Positive
Viimastel aastatel on meie politsei saanud rahvusvahelist tunnustust erinevates valdkondades.,Euroopa narkoturg ei kahane,muud,Yes,Positive
Võimaliku vaenu õhutamise uurimiseks edastas kapo materjalid seisukoha võtuks Põhja politseiprefektuurile,Politsei Pravo i Pravda skandaalsest artiklist vaenu õhutamist ei leidnud,Ekspress Grupp,Yes,Neutral
"Võltsimistunnustega 500 kroonine kandis seerianumbrit BL427384, teatas Rapla politseijaoskonna infojuht Kaire Kozlova.",Politsei tuvastas Raplamaal kaks valeraha kasutamise juhtumit,Ekspress Grupp,Yes,Neutral
Võru politseiosakond teeb avalikku liiklusjärelevalvet ning mõõdab kiirust kella 10.00 - 12.00 Tallinna-Tartu-Luhamaa maanteel Võru-Põlva maakonna piirist kuni Viljandi ristmikuni.,Politsei mõõdab täna Tallinna-Tartu maanteel kiirust,Ekspress Grupp,Yes,Neutral